prefix,lat,lon,name,category
aaf,29.650275,-82.345720,Academic Advising Center,admin
adv,29.648792,-82.359303,Martin H. Levin Advocacy Center,academic
aer,29.643272,-82.348300,Mec. Aerospace Engineering,academic
aerv,29.643272,-82.348300,Mec. Aerospace Engineering,academic
alf,29.642948,-82.348636,Alfred A. Ring Tennis Pavilion,sports
and,29.651573,-82.341939,Anderson Hall,academic
ans,29.631292,-82.351768,Animal Science,academic
ansc,29.631292,-82.351768,Animal Science Building C,unknown
apl,29.646905,-82.343942,Aquatic Products Lab,academic
apopka,28.638361,-81.548856,UF Apopka,academic
arch,29.647656,-82.341748,School of Architecture,academic
aud,29.648887,-82.342909,University Auditorium,academic
bar,29.643915,-82.344403,Bartram Hall,academic
barB,29.643915,-82.344403,Bartram Hall,academic
bcf,29.639509,-82.359952,BioContainment Facility,unknown
bcftr,29.639518,-82.359949,Bio-Containment Facility,academic
ben,29.647961,-82.351393,Tolbert Hall,housing
bgh,29.649216,-82.359055,Bruton-Geer Hall,admin
blk,29.641892,-82.347876,Black Hall,academic
bro,29.646552,-82.342104,Broward Hall,housing
broEastOIR,29.646552,-82.342104,Broward Hall,housing
broOIR,29.646552,-82.342104,Broward Hall,housing
brt,29.648906,-82.345784,Bryant Space Science Center,academic
brtb,29.648906,-82.345784,Bryant Space Science Center,academic
brttr,29.648906,-82.345784,Bryant Space Science Center,academic
bry,29.648906,-82.345784,Bryan Hall,admin
bwc,29.645354,-82.347903,UF bookstore,social
bwcbookstore,29.645256,-82.347710,UF Bookstore,social
bwcg,29.645442,-82.348053,UF Welcome Center,admin
bwcp,29.645442,-82.348053,UF Welcome Center,admin
bwctr,29.645442,-82.348053,UF Welcome Center,admin
car,29.649030,-82.341675,Carleton Auditorium,academic
carATTIC,29.649030,-82.341675,Carleton Auditorium - Attic,academic
cbd,29.652971,-82.342913,Classroom Building 105,academic
cenx,29.643928,-82.343066,Centrex Building,police
che,29.642720,-82.347873,Dept. of Chemical Engineering,academic
clb,29.650947,-82.344073,Chemistry Lab,academic
con,29.646350,-82.346664,Constans Theatre,social
conG,29.646350,-82.346664,Constans Theatre,social
crec,29.639071,-82.368803,Center for Outdoor Rec. & Educ.,sports
crecxxxrxx,29.639071,-82.368803,Center for Outdoor Rec. & Educ.,sports
cris,29.650130,-82.341602,Criser Hall,admin
criv,29.650130,-82.341602,Criser Hall,admin
crr,29.643859,-82.344859,Carr Hall,academic
crrB,29.643859,-82.344859,Carr Hall,academic
cse,29.648210,-82.344387,CISE,academic
csee,29.648210,-82.344387,CISE,academic
csev,29.648210,-82.344387,CISE,academic
csfl,29.633672,-82.361716,Crops And Soils Field Lab,academic
cwp,29.648189,-82.348498,Lacy R. Chilled Water Plt. CWP2,unknown
dairy,29.763049,-82.414491,UF,unknown
dau,29.649895,-82.344979,Dauer Hall,academic
dinefreshfood,29.647025,-82.341302,Fresh Food,social
ecob,29.672054,-82.299507,East Campus Office,admin
edb,29.641637,-82.348364,Engineering Design Building,academic
ehs,29.643530,-82.343826,Env. Health and Safety EHS,unknown
elm,29.643476,-82.366184,Elmore Hall,admin
elmv,29.643476,-82.366184,Elmore Hall,admin
eyn,29.634543,-82.366474,Entomology-Nematology,academic
faa,29.648127,-82.340636,Fine Arts A,academic
fab,29.648118,-82.339764,Fine Arts B,academic
fac,29.647768,-82.340343,Fine Arts C,academic
facB,29.647768,-82.340343,Fine Arts C,academic
fad,29.648372,-82.340171,Fine Arts D,academic
ff,29.638503,-82.357321,Forestry Resource and Conserv. FF1,unknown
ff1,29.638525,-82.357330,Forestry Resource and Conservation,admin
fif,29.638470,-82.361135,Fifield Hall,academic
fifv,29.638470,-82.361135,Fifield Hall,academic
flg,29.649463,-82.347294,Florida Gym,sports
fli,29.651575,-82.343850,Keene-Flint Hall,academic
flih,29.649981,-82.332703,Innovation Hub,academic
